City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
522,Kundiawa,PG,79.27,overcast clouds,-6.02,144.97,Kundiawa Hotel
523,Copalillo,MX,73.26,broken clouds,18.03,-99.12,
525,Bucerias,MX,81.0,overcast clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
527,Onalaska,US,75.2,clear sky,43.88,-91.24,Stoney Creek Hotel & Conference Center
529,Viseu,PT,71.01,clear sky,40.66,-7.91,Montebelo Viseu Congress Hotel
532,Phangnga,TH,77.0,moderate rain,8.45,98.53,Muang Thong Hotel
533,Elizabeth City,US,82.99,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
534,Nahrin,AF,74.03,clear sky,36.06,69.13,
537,Mirante Do Paranapanema,BR,73.4,clear sky,-22.29,-51.91,Estância das Flores
538,Mitchell,US,75.2,clear sky,43.71,-98.03,Kelly Inn & Suites
539,Jinchang,CN,77.94,broken clouds,38.5,102.17,Mingshihui Jinchang International Hotel
540,Kavaratti,IN,83.19,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
542,Salalah,OM,80.6,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
544,Warrensburg,US,82.4,clear sky,38.76,-93.74,Comfort Inn Warrensburg Station
545,Suruc,TR,77.0,clear sky,36.98,38.42,Kumbet Otel
547,Vaitape,PF,79.66,overcast clouds,-16.52,-151.75,Hotel Maitai Polynesia
548,Surt,LY,74.91,clear sky,31.21,16.59,City Hotel
549,Los Llanos De Aridane,ES,72.0,overcast clouds,28.66,-17.92,Valle Aridane
551,Innisfail,AU,73.53,scattered clouds,-17.53,146.03,Moondarra Motel
552,Madang,PG,85.73,overcast clouds,-5.22,145.8,Comfort Inn Hotel
554,Beyneu,KZ,83.97,clear sky,45.32,55.2,NUR
557,Honiara,SB,86.0,broken clouds,-9.43,159.95,Heritage Park Hotel
559,Half Moon Bay,US,71.01,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
560,Hanzhong,CN,76.42,overcast clouds,33.07,107.03,Guorui Hotel
561,Weinan,CN,81.0,scattered clouds,34.5,109.51,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
563,La Primavera,CO,75.15,overcast clouds,5.49,-70.41,La Riviera Hotel Colonial
565,Batticaloa,LK,81.66,overcast clouds,7.71,81.69,Grand Star Guest House
566,Itaituba,BR,74.95,clear sky,-4.28,-55.98,Hotel Campos
568,Zwedru,LR,70.56,overcast clouds,6.07,-8.13,Elijah Worjloh
